pl_name,hostname,gaia_dr3_id,gaia_dr2_id,tic_id,ra,dec,FUVmag,e_FUVmag,NUVmag,e_NUVmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Bmag,e_Bmag,Vmag,e_Vmag,gpmag,e_gpmag,rpmag,e_rpmag,ipmag,e_ipmag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,ymag,e_ymag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,tic_Bmag,tic_e_Bmag,tic_Vmag,tic_e_Vmag,gaiamag,e_gaiamag,Tmag,e_Tmag
HAT-P-19 b,HAT-P-19,365426679516816512,365426679516816512,267650535,9.5165832,34.7114025,,,,,15.7269,0.00504039,15.1679,0.0104896,12.7461,0.00254408,14.0311,0.00820959,12.867,0.00450818,13.833999633789100,0.050999999046325700,12.852999687194800,0.054999999701976800,13.380999565124500,0.17599999904632600,12.5,0.03400000184774400,12.274999618530300,0.17399999499321000,13.196,,12.564,,12.31,,12.18,,12.1256,0.0106,11.095,0.02,10.644,0.022,10.546,0.019,10.495,0.022,10.557,0.02,10.561,0.091,8.691,,13.834,0.051,12.826,0.057,12.5567,0.000238,11.9475,0.006
HAT-P-16 b,HAT-P-16,381592313648387200,381592313648387200,191284318,9.5730343,42.4630961,20.8257,0.3624,15.7473,0.012,,,,,,,,,,,11.414999961853000,0.1340000033378600,10.861000061035200,0.07900000363588330,11.031999588012700,0.10599999874830200,10.746000289917000,0.05999999865889550,10.75100040435790,0.6330000162124630,11.125,,10.84,,10.743,,10.711,,10.708,,9.85,0.022,9.623,0.022,9.553,0.02,9.506,0.022,9.531,0.019,9.505,0.036,8.681,,11.38,0.111,10.911,0.008,10.7568,0.000256,10.374,0.0061
K2-149 b,K2-149,2557342829345854208,2557342829345854208,429035886,9.8217519,7.2769939,,,,,,,,,,,,,,,16.05500030517580,0.06400000303983690,14.543000221252400,0.17599999904632600,15.321000099182100,0.03500000014901160,13.970999717712400,0.13500000536441800,13.170000076293900,0.15600000321865100,15.1936,0.0033,13.9945,0.0014,13.336,,12.932,,12.5968,0.0055,11.452,0.023,10.762,0.032,10.561,0.021,10.482,0.023,10.497,0.021,10.475,0.25,8.351,,16.055,0.064,14.543,0.176,13.7795,0.000301,12.7422,0.00726464
TOI-1470 b,TOI-1470,427224073427887360,427224073427887360,284441182,10.0891431,61.2133868,,,,,,,,,,,,,,,14.862000465393100,0.23100000619888300,13.458999633789100,0.035999998450279200,14.182000160217300,0.1850000023841860,12.859999656677200,0.0430000014603138,11.871000289917000,0.04399999976158140,14.0682,0.0047,12.892,,12.192,,11.704,,11.486,,10.154,0.024,9.514,0.032,9.283,0.02,9.16,0.023,9.087,0.02,9.011,0.025,9.09,,14.862,0.231,13.459,0.036,12.5555,0.000285,11.4752,0.00729855
TOI-1470 c,TOI-1470,427224073427887360,427224073427887360,284441182,10.0891431,61.2133868,,,,,,,,,,,,,,,14.862000465393100,0.23100000619888300,13.458999633789100,0.035999998450279200,14.182000160217300,0.1850000023841860,12.859999656677200,0.0430000014603138,11.871000289917000,0.04399999976158140,14.0682,0.0047,12.892,,12.192,,11.704,,11.486,,10.154,0.024,9.514,0.032,9.283,0.02,9.16,0.023,9.087,0.02,9.011,0.025,9.09,,14.862,0.231,13.459,0.036,12.5555,0.000285,11.4752,0.00729855
TOI-244 b,TOI-244,5001098681543159040,5001098681543159040,118327550,10.5697537,-36.7179743,,,,,,,,,,,,,,,14.210000038147000,0.02500000037252900,12.692999839782700,0.02800000086426740,13.395999908447300,0.026000000536441800,12.107999801635700,0.04399999976158140,10.784000396728500,0.02800000086426740,,,,,,,,,,,8.827,0.023,8.251,0.033,7.97,0.029,7.8,0.026,7.712,0.019,7.606,0.019,7.511,0.133,14.21,0.025,12.861,0.069,11.553,0.001017,10.3475,0.00729009
LHS 1140 c,LHS 1140,2371032916186181760,2371032916186181760,92226327,11.248632,-15.2741085,,,,,,,,,,,,,,,15.880999565124500,0.09099999815225600,14.149999618530300,0.06199999898672100,14.901000022888200,0.03500000014901160,13.54800033569340,0.01899999938905240,11.845000267028800,0.10400000214576700,14.7512,0.0019,13.5599,0.0041,11.9588,0.001,11.4374,0.0326,10.8362,0.1073,9.612,0.023,9.092,0.026,8.821,0.024,,,,,,,,,15.881,0.091,14.15,0.062,12.6706,0.000356,11.2991,0.00732876
LHS 1140 b,LHS 1140,2371032916186181760,2371032916186181760,92226327,11.248632,-15.2741085,,,,,,,,,,,,,,,15.880999565124500,0.09099999815225600,14.149999618530300,0.06199999898672100,14.901000022888200,0.03500000014901160,13.54800033569340,0.01899999938905240,11.845000267028800,0.10400000214576700,14.7512,0.0019,13.5599,0.0041,11.9588,0.001,11.4374,0.0326,10.8362,0.1073,9.612,0.023,9.092,0.026,8.821,0.024,,,,,,,,,15.881,0.091,14.15,0.062,12.6706,0.000356,11.2991,0.00732876
K2-206 b,K2-206,2549096011101118080,2549096011101118080,257392778,11.2564264,0.5931866,,,20.2807,0.0952,16.72,0.0142915,13.6979,0.00252886,12.8286,0.00105757,12.5797,0.00209702,13.3594,0.0101169,13.956999778747600,0.041999999433755900,13.100000381469700,0.04699999839067460,13.48900032043460,0.03200000151991840,12.781999588012700,0.04699999839067460,12.53600025177000,0.032999999821186100,13.182,,12.652,,12.487,,12.43,,12.4495,0.0061,11.439,0.026,10.991,0.027,10.918,0.021,10.845,0.022,10.899,0.021,11.021,0.232,8.674,,13.957,0.042,13.084,0.092,12.8274,0.00019,12.2619,0.0076
K2-217 b,K2-217,2556248536102683008,2556248536102683008,405333767,11.2983678,6.4815879,,,17.2665,0.0306,14.5392,0.00404668,12.9298,0.00165806,12.1878,0.00149265,11.9851,0.00157281,12.7755,0.00473305,12.812999725341800,0.03200000151991840,12.187000274658200,0.03099999949336050,12.451000213623000,0.035999998450279200,12.01099967956540,0.03099999949336050,11.901000022888200,0.014999999664723900,12.326,,12.01,,11.904,,11.875,,11.873,,11.009,0.022,10.747,0.03,10.679,0.02,10.641,0.023,10.675,0.021,10.754,0.131,8.015,,12.813,0.032,12.264,0.092,12.0279,0.00025,11.601,0.0069
