pl_name,hostname,gaia_dr3_id,ra,dec,fuvmag,e_fuvmag,nuvmag,e_nuvmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,vmag,e_vmag,bmag,e_bmag,gprimemag,e_gprimemag,rprimemag,e_rprimemag,iprimemag,e_iprimemag,gaiaGmag,e_gaiaGmag,gaiaBPmag,e_gaiaBPmag,gaiaRPmag,e_gaiaRPmag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,ymag,e_ymag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag
HD 3167 b,HD 3167,2554032474712538880,8.7401487,4.3807215,22.1149,0.3553,15.6405,0.0111,,,,,,,,,,,,,10.166,0.0,10.204,0.106,,,,,8.772420708,0.0123359297273207,9.178294736,0.0206981184912473,8.1964345014,0.0195177354336524,,,,,,,,,,,7.548,0.032,7.203,0.038,7.066,0.02,6.942,0.053,7.09,0.02,7.054,0.018,7.065,0.144
HD 3167 c,HD 3167,2554032474712538880,8.7401487,4.3807215,22.1149,0.3553,15.6405,0.0111,,,,,,,,,,,,,10.166,0.0,10.204,0.106,,,,,8.772420708,0.0123359297273207,9.178294736,0.0206981184912473,8.1964345014,0.0195177354336524,,,,,,,,,,,7.548,0.032,7.203,0.038,7.066,0.02,6.942,0.053,7.09,0.02,7.054,0.018,7.065,0.144
TOI-2406 b,TOI-2406,2528453161326406016,8.8060544,-3.3720833,,,,,,,,,,,,,,,,,,,,,,,,,15.66298113104,0.0247062589530407,17.4339033212003,0.0776289857441113,14.392949972922,0.0339511636574869,17.7198009490967,0.008123000152409,16.5655994415283,0.0036659999750554,14.9478998184204,0.0083630001172423,14.2082996368408,0.0036859998945146,13.8747997283936,0.0049459999427199,12.633,0.024,12.129,0.024,11.894,0.025,,,,,,,,
WASP-93 b,WASP-93,415703635408772480,9.4587443,51.288778,,,,,,,,,,,,,,,11.089,0.037,11.541,0.024,11.267,0.032,10.996,0.041,10.93,0.046,10.984385221,0.0137736795433127,11.2095350487,0.0175326644944419,10.5915123191,0.016057870093081,,,12.931300163269,0.0029909999575465,,,,,,,10.233,0.022,9.997,0.021,9.942,0.016,9.887,0.023,9.9,0.02,9.854,0.039,9.072,0.377
HAT-P-19 b,HAT-P-19,365426679516816512,9.5165832,34.7114025,,,,,15.7269,0.00504039,15.1679,0.0104896,12.7461,0.00254408,14.0311,0.00820959,12.867,0.00450818,12.853,0.055,13.834,0.051,13.381,0.176,12.5,0.034,12.275,0.174,12.54554437529,0.0141255631137107,13.05881518428,0.0241584141485549,11.88449296511,0.022105377775381,13.1960000991821,,12.5640001296997,,12.3100004196167,,12.1800003051758,,12.125599861145,0.0106269996613264,11.095,0.02,10.644,0.022,10.546,0.019,10.495,0.022,10.557,0.02,10.561,0.091,8.691,
HAT-P-16 b,HAT-P-16,381592313648387200,9.5730343,42.4630961,20.8257,0.3624,15.7473,0.012,,,,,,,,,,,10.861,0.079,11.415,0.134,11.032,0.106,10.746,0.06,10.751,0.633,10.7586734287,0.0110930928998237,11.036282692,0.0220885490965108,10.316911674,0.018569020890192,,,,,,,,,,,9.85,0.022,9.623,0.022,9.553,0.02,9.506,0.022,9.531,0.019,9.505,0.036,8.681,
K2-149 b,K2-149,2557342829345854208,9.8217519,7.2769939,,,,,,,,,,,,,,,14.543,0.176,16.055,0.064,15.321,0.035,13.971,0.135,13.17,0.156,13.76396917072,0.0178683291247602,14.81371654306,0.0406330253226223,12.7468676773,0.0255780130667037,15.1935997009277,0.0033330000005662,13.9945001602173,0.0013839999446645,13.3360004425049,,12.9320001602173,,12.5967998504639,0.0055280001834034,11.452,0.023,10.762,0.032,10.561,0.021,10.482,0.023,10.497,0.021,10.475,0.25,8.351,
TOI-1470 b,TOI-1470,427224073427887360,10.0891431,61.2133868,,,,,,,,,,,,,,,13.459,0.036,14.862,0.231,14.182,0.185,12.86,0.043,11.871,0.044,12.54248553544,0.0165658275051336,13.669262722018,0.0337429613333895,11.48644947359,0.0241800091155522,14.0682001113892,0.0046919998712837,12.8920001983643,,12.1920003890991,,11.7040004730225,,11.4860000610352,,10.154,0.024,9.514,0.032,9.283,0.02,9.16,0.023,9.087,0.02,9.011,0.025,9.09,
TOI-1470 c,TOI-1470,427224073427887360,10.0891431,61.2133868,,,,,,,,,,,,,,,13.459,0.036,14.862,0.231,14.182,0.185,12.86,0.043,11.871,0.044,12.54248553544,0.0165658275051336,13.669262722018,0.0337429613333895,11.48644947359,0.0241800091155522,14.0682001113892,0.0046919998712837,12.8920001983643,,12.1920003890991,,11.7040004730225,,11.4860000610352,,10.154,0.024,9.514,0.032,9.283,0.02,9.16,0.023,9.087,0.02,9.011,0.025,9.09,
TOI-244 b,TOI-244,5001098681543159040,10.5697537,-36.7179743,,,22.8002,0.4472,,,,,,,,,,,12.693,0.028,14.21,0.025,13.396,0.026,12.108,0.044,10.784,0.028,11.5489529213,0.0228333796006743,12.93304728565,0.0369315708920547,10.3877499489,0.029223088594865,,,,,,,,,,,8.827,0.023,8.251,0.033,7.97,0.029,7.8,0.026,7.712,0.019,7.606,0.019,7.511,0.133
